Away,Home,Last_1,Last_3,Rank,Team,_2015Season,_2016Season
+1.7,+3.2,-2.0,-5.7,1,Toronto,+1.2,+2.4
+1.6,+1.8,-12.0,-7.3,2,Utah,+0.5,+1.7
+1.4,+1.6,+4.0,-0.3,3,San Antonio,+1.8,+1.5
+1.3,+1.3,+2.0,+3.0,4,Detroit,+1.2,+1.3
+0.2,+1.7,-6.0,+1.3,5,Miami,+0.5,+1.0
+0.6,+1.2,+4.0,+4.0,6,Golden State,+0.8,+0.9
+0.6,+1.0,+2.0,+1.3,7,Boston,+0.5,+0.8
+0.3,+1.2,-4.0,-1.7,8,Washington,-0.3,+0.7
+0.6,+0.9,-6.0,-3.7,9,Memphis,-0.3,+0.7
+0.7,+0.5,+10.0,-5.7,10,New York,-2.2,+0.6
-0.5,+1.2,-9.0,+0.3,11,Atlanta,+1.7,+0.4
0.0,+0.7,-6.0,+3.3,12,Sacramento,-0.0,+0.4
-0.5,+1.1,-11.0,-9.0,13,Okla City,+0.1,+0.3
-0.7,+1.0,+10.0,-1.0,14,Milwaukee,-1.5,+0.1
-2.5,+2.0,-4.0,-6.7,15,Charlotte,+0.4,-0.3
-0.6,-0.1,+1.0,-3.3,16,Portland,-0.3,-0.4
-0.7,-0.2,+7.0,+2.3,17,Indiana,+0.7,-0.4
-1.5,+0.5,+7.0,-2.0,18,Chicago,-0.7,-0.5
-1.4,+0.3,+3.0,+0.7,19,LA Clippers,-0.3,-0.5
+0.1,-1.2,+11.0,+2.3,20,Dallas,+0.2,-0.6
-2.3,+1.0,+8.0,+3.3,21,LA Lakers,-0.1,-0.7
-0.0,-1.4,-20.0,-2.7,22,Brooklyn,-1.8,-0.7
-1.4,-0.2,+10.0,+4.3,23,New Orleans,-0.6,-0.8
-1.8,+0.2,-16.0,-3.0,24,Houston,+0.7,-0.8
-0.2,-1.9,+5.0,+1.3,25,Denver,-0.2,-1.0
-0.6,-1.7,+9.0,+1.3,26,Minnesota,+0.1,-1.1
-1.3,-1.3,-4.0,-4.0,27,Cleveland,+0.9,-1.3
-3.2,+0.4,-10.0,-3.0,28,Philadelphia,-2.0,-1.4
-0.0,-3.0,-5.0,-4.3,29,Phoenix,-1.7,-1.5
-1.2,-2.4,-2.0,-4.7,30,Orlando,-0.7,-1.8
