Away,Home,Last_1,Last_3,Rank,Team,_2015Season,_2016Season
42.1,43.2,39.0,48.0,1,Houston,31.6,42.6
39.3,40.1,33.0,47.0,2,Cleveland,33.1,39.7
35.1,37.7,33.0,39.0,3,Boston,26.2,36.4
34.3,38.3,42.0,41.0,4,Golden State,39.1,36.3
32.6,31.6,27.0,37.0,5,Dallas,28.9,32.1
32.3,31.8,9.0,21.0,6,Brooklyn,19.4,32.1
31.1,32.6,21.0,36.0,7,Denver,24.0,31.8
29.0,33.5,39.0,33.0,8,Portland,32.1,31.3
29.6,31.2,21.0,28.0,9,Philadelphia,28.0,30.4
31.4,29.1,18.0,25.0,10,LA Clippers,28.3,30.3
30.4,29.9,9.0,17.0,11,Charlotte,30.8,30.1
27.6,31.5,24.0,27.0,12,Miami,18.6,29.6
27.5,30.3,24.0,27.0,13,Utah,25.4,28.9
26.8,29.4,24.0,20.0,14,New Orleans,25.7,28.1
28.8,27.3,36.0,33.0,15,Memphis,18.2,28.1
26.1,28.5,30.0,22.0,16,Washington,25.9,27.3
26.0,28.5,24.0,21.0,17,San Antonio,21.3,27.2
25.5,28.5,15.0,23.0,18,Sacramento,24.1,27.0
25.5,27.9,12.0,22.0,19,LA Lakers,23.4,26.7
26.3,26.8,27.0,30.0,20,Atlanta,30.0,26.6
26.9,25.8,21.0,22.0,21,Milwaukee,16.1,26.4
25.7,26.9,30.0,34.0,22,Indiana,24.3,26.3
24.9,27.5,30.0,17.0,23,Toronto,24.9,26.2
25.2,26.3,27.0,24.0,24,New York,22.3,25.8
26.2,25.1,39.0,32.0,25,Orlando,23.3,25.6
24.8,25.9,30.0,26.0,26,Okla City,24.8,25.3
21.9,24.3,33.0,35.0,27,Detroit,27.0,23.1
23.5,21.8,12.0,18.0,28,Chicago,23.8,22.7
21.8,23.3,24.0,24.0,29,Phoenix,27.0,22.5
20.3,23.6,33.0,19.0,30,Minnesota,16.6,22.0
