Away,Home,Last_1,Last_3,Rank,Team,_2015Season,_2016Season
19.0,25.6,18.0,17.0,1,Golden State,19.5,22.3
16.5,22.7,10.0,11.0,2,Phoenix,14.4,19.4
17.1,16.4,3.0,14.3,3,Okla City,17.2,16.8
16.8,15.5,17.0,13.0,4,Washington,18.6,16.1
16.7,15.4,6.0,14.0,5,Houston,17.7,16.1
13.9,16.5,32.0,23.3,6,LA Lakers,12.2,15.2
12.5,17.6,5.0,11.0,7,New Orleans,12.4,15.0
12.9,15.5,14.0,17.0,8,Denver,14.2,14.2
13.5,14.6,13.0,10.7,9,Orlando,12.3,14.0
13.8,14.2,9.0,14.3,10,Brooklyn,11.5,14.0
11.9,15.3,8.0,10.7,11,Milwaukee,13.8,13.6
11.9,15.2,12.0,9.0,12,LA Clippers,12.6,13.6
12.8,14.1,5.0,6.0,13,Chicago,10.2,13.5
12.5,13.3,11.0,11.3,14,Philadelphia,12.2,12.9
13.5,12.2,25.0,15.3,15,Cleveland,12.2,12.9
12.7,12.9,13.0,12.3,16,Minnesota,13.6,12.8
11.0,13.7,27.0,12.3,17,Boston,16.0,12.4
10.6,14.0,22.0,19.3,18,San Antonio,10.8,12.3
10.8,13.2,11.0,12.3,19,Atlanta,14.5,12.0
13.1,10.9,0.0,6.3,20,Toronto,10.7,12.0
11.6,12.4,18.0,15.7,21,Detroit,10.9,12.0
11.3,11.3,4.0,10.7,22,Portland,11.1,11.3
11.3,11.0,6.0,7.3,23,Miami,10.7,11.1
11.7,10.1,11.0,12.0,24,New York,8.4,10.9
11.6,9.8,5.0,17.7,25,Sacramento,17.3,10.7
11.9,9.1,4.0,7.3,26,Indiana,13.4,10.5
8.6,12.2,11.0,14.7,27,Memphis,12.4,10.4
8.8,10.0,10.0,11.3,28,Charlotte,10.7,9.4
9.1,7.1,4.0,9.0,29,Utah,9.3,8.1
5.6,10.0,5.0,9.7,30,Dallas,11.1,7.8
