Away,Home,Last_1,Last_3,Rank,Team,_2015Season,_2016Season
47.9,51.9,56.0,48.7,1,Denver,45.9,49.8
47.2,52.0,38.0,47.3,2,Okla City,46.7,49.6
47.0,48.9,44.0,41.3,3,Milwaukee,50.5,48.0
44.0,51.4,62.0,58.0,4,LA Lakers,38.2,47.7
46.1,48.9,50.0,52.0,5,Phoenix,41.4,47.5
46.4,46.4,18.0,37.3,6,Houston,45.5,46.4
45.0,47.5,52.0,43.3,7,Golden State,43.6,46.2
46.2,45.6,40.0,40.7,8,Brooklyn,46.1,45.9
46.7,44.6,60.0,58.0,9,Minnesota,44.1,45.7
44.3,46.0,60.0,53.3,10,Miami,46.0,45.1
46.0,44.0,40.0,44.7,11,Washington,42.3,45.0
46.0,42.7,72.0,46.0,12,Philadelphia,43.2,44.3
41.3,46.9,40.0,46.7,13,New Orleans,41.4,44.1
42.1,44.6,36.0,45.3,14,Toronto,41.3,43.4
42.6,44.0,40.0,43.3,15,Chicago,41.0,43.3
41.8,44.5,48.0,40.0,16,Detroit,43.3,43.1
43.6,42.5,34.0,48.0,17,Sacramento,49.4,43.0
41.6,44.3,46.0,42.0,18,Atlanta,43.3,43.0
43.4,42.1,46.0,42.0,19,Utah,41.8,42.8
42.0,42.4,42.0,35.3,20,Orlando,43.6,42.2
41.2,43.1,28.0,34.0,21,Portland,38.8,42.1
43.0,40.8,46.0,40.7,22,Indiana,40.3,41.9
40.6,43.1,38.0,36.0,23,Boston,45.6,41.9
40.2,41.0,50.0,52.0,24,San Antonio,43.2,40.6
40.9,39.9,38.0,41.3,25,Memphis,43.6,40.4
39.4,41.4,40.0,43.3,26,New York,35.8,40.4
37.1,43.0,46.0,36.7,27,LA Clippers,38.0,40.1
39.7,40.1,62.0,48.0,28,Cleveland,40.5,39.9
38.2,41.5,34.0,34.7,29,Charlotte,37.8,39.9
32.0,33.5,32.0,30.7,30,Dallas,38.1,32.8
